Código	Produto	Tipo	Valor Investido	Emissão	Vencimento	Dias Corridos	Dias Úteis	Taxa	Tipo Indexador	Preço Unitário	Quantidade	Valor Líquido	Rentabilidade Líquida	Rentabilidade Média	Liquidado?
EXEMPLO-0027	BANCO ATLÂNTICO CAPITAL S.A.	LCA	R$ 24.215,04	02/08/2017	21/05/2020	1023	731	CDI + 1,20%	PÓS-FIXADO	R$ 1.210,75	20	R$ 33.846,58	39,775032376573	0,054411809	TRUE
EXEMPLO-0028	COOPERATIVA SULCRED EXEMPLO	LCA	R$ 1.304,72	17/06/2019	27/06/2020	376	270	IPCA + 8,77%	INFLAÇÃO	R$ 260,94	5	R$ 1.488,61	14,094211784904	0,052200784	TRUE
EXEMPLO-0029	BANCO HORIZONTE DIGITAL S.A.	LCA	R$ 1.700,00	23/10/2017	08/07/2020	989	707	15,69% a.a.	PRÉ-FIXADO	R$ 0,01	170000	R$ 2.522,53	48,384117647059	0,068435810	TRUE
EXEMPLO-0030	BANCO HORIZONTE DIGITAL S.A.	CDB	R$ 4.000,00	30/11/2019	10/07/2020	223	159	127,58% do CDI	PÓS-FIXADO	R$ 800,00	5	R$ 4.278,97	6,974250000000	0,043863208	TRUE
EXEMPLO-0031	BANCO AURORA CAPITAL S.A.	CDB	R$ 9.500,00	25/09/2017	14/08/2020	1054	754	128,66% do CDI	PÓS-FIXADO	R$ 1.900,00	5	R$ 13.449,63	41,575052631579	0,055139327	TRUE
EXEMPLO-0032	BANCO HORIZONTE DIGITAL S.A.	CDB	R$ 13.900,00	09/01/2020	09/09/2020	244	174	IPCA + 4,94%	INFLAÇÃO	R$ 926,67	15	R$ 14.606,73	5,084388489209	0,029220624	TRUE
EXEMPLO-0033	BANCO ELO CAPITAL S.A.	CDB	R$ 6.300,00	11/08/2018	18/09/2020	769	549	108,29% do CDI	PÓS-FIXADO	R$ 3.150,00	2	R$ 7.801,10	23,826984126984	0,043400700	TRUE
EXEMPLO-0034	BANCO ELO CAPITAL S.A.	LCA	R$ 5.700,00	13/05/2020	22/10/2020	162	116	CDI + 1,60%	PÓS-FIXADO	R$ 1.425,00	4	R$ 6.019,87	5,611754385965	0,048377193	TRUE
EXEMPLO-0035	BANCO VÉRTICE BRASIL S.A.	LCA	R$ 15.100,00	30/01/2020	02/01/2021	338	242	9,72% a.a.	PRÉ-FIXADO	R$ 3.020,00	5	R$ 16.453,46	8,963311258278	0,037038476	TRUE
EXEMPLO-0036	BANCO HORIZONTE DIGITAL S.A.	LCA	R$ 1.276,92	13/08/2018	24/01/2021	895	640	IPCA + 6,26%	INFLAÇÃO	R$ 0,01	127692	R$ 1.650,52	29,257901826269	0,045715472	TRUE
EXEMPLO-0037	BANCO ELO CAPITAL S.A.	CDB	R$ 7.129,78	22/10/2018	10/02/2021	842	602	96,16% do CDI	PÓS-FIXADO	R$ 356,49	20	R$ 8.787,44	23,249805744357	0,038620940	TRUE
EXEMPLO-0038	BANCO ORBE S.A.	LCA	R$ 12.068,99	28/11/2018	11/02/2021	806	576	131,39% do CDI	PÓS-FIXADO	R$ 1.005,75	12	R$ 16.463,73	36,413486132642	0,063217858	TRUE
EXEMPLO-0039	BANCO SERRA AZUL S.A.	LCA	R$ 12.814,26	03/10/2018	05/03/2021	884	632	105,86% do CDI	PÓS-FIXADO	R$ 640,71	20	R$ 16.921,73	32,053899327780	0,050718195	TRUE
EXEMPLO-0040	BANCO ATLÂNTICO CAPITAL S.A.	CDB	R$ 1.300,00	06/04/2020	10/03/2021	338	242	12,61% a.a.	PRÉ-FIXADO	R$ 1.300,00	1	R$ 1.420,81	9,293076923077	0,038401144	TRUE
EXEMPLO-0041	BANCO ORBE S.A.	CDB	R$ 20.142,73	24/02/2018	20/03/2021	1120	800	100,10% do CDI	PÓS-FIXADO	R$ 20.142,73	1	R$ 26.934,62	33,718815671957	0,042148520	TRUE
EXEMPLO-0042	BANCO NOVA VIA S.A.	LCA	R$ 29.300,00	11/03/2021	12/06/2021	93	67	10,09% a.a.	PRÉ-FIXADO	R$ 0,01	2930000	R$ 30.026,00	2,477815699659	0,036982324	TRUE
EXEMPLO-0043	BANCO PRISMA FINANCEIRO S.A.	LCA	R$ 12.149,64	20/12/2018	21/06/2021	914	652	97,32% do CDI	PÓS-FIXADO	R$ 4.049,88	3	R$ 15.843,67	30,404439966946	0,046632577	TRUE
EXEMPLO-0044	BANCO ORBE S.A.	LCA	R$ 1.500,00	27/03/2019	28/07/2021	854	610	126,51% do CDI	PÓS-FIXADO	R$ 125,00	12	R$ 2.060,71	37,380666666667	0,061279781	TRUE
EXEMPLO-0045	COOPERATIVA CREDIVALE EXEMPLO	CDB	R$ 2.129,12	10/12/2020	16/08/2021	249	177	98,01% do CDI	PÓS-FIXADO	R$ 266,14	8	R$ 2.257,76	6,041932817314	0,034135214	TRUE
EXEMPLO-0046	BANCO ORBE S.A.	CDB	R$ 12.400,00	20/06/2021	28/09/2021	100	71	15,27% a.a.	PRÉ-FIXADO	R$ 1.550,00	8	R$ 12.793,56	3,173870967742	0,044702408	TRUE
EXEMPLO-0047	BANCO PONTE S.A.	CDB	R$ 7.573,22	04/03/2019	23/10/2021	964	690	98,96% do CDI	PÓS-FIXADO	R$ 1.514,64	5	R$ 9.691,40	27,969344611671	0,040535282	TRUE
EXEMPLO-0048	BANCO ATLÂNTICO CAPITAL S.A.	CDB	R$ 12.306,83	27/06/2021	26/11/2021	152	109	107,29% do CDI	PÓS-FIXADO	R$ 2.051,14	6	R$ 12.795,25	3,968690556382	0,036410005	TRUE
EXEMPLO-0049	BANCO PONTE S.A.	CDB	R$ 1.802,55	05/01/2021	08/12/2021	337	241	IPCA + 6,29%	INFLAÇÃO	R$ 225,32	8	R$ 1.949,27	8,139580039389	0,033774191	TRUE
EXEMPLO-0050	BANCO PRISMA FINANCEIRO S.A.	CDB	R$ 31.302,27	31/07/2019	10/01/2022	894	638	108,98% do CDI	PÓS-FIXADO	R$ 10.434,09	3	R$ 40.218,09	28,482982224612	0,044644173	TRUE
EXEMPLO-0051	BANCO ELO CAPITAL S.A.	CDB	R$ 40.415,98	05/12/2019	17/02/2022	805	575	123,37% do CDI	PÓS-FIXADO	R$ 5.052,00	8	R$ 52.084,03	28,869892552401	0,050208509	TRUE
EXEMPLO-0052	BANCO NOVA VIA S.A.	LCA	R$ 15.723,34	04/04/2021	26/04/2022	387	276	11,96% a.a.	PRÉ-FIXADO	R$ 3.930,84	4	R$ 17.722,68	12,715746145539	0,046071544	TRUE
EXEMPLO-0053	BANCO SERRA AZUL S.A.	LCA	R$ 1.800,00	04/06/2021	14/06/2022	375	267	16,40% a.a.	PRÉ-FIXADO	R$ 90,00	20	R$ 2.103,71	16,872777777778	0,063193924	TRUE
EXEMPLO-0054	BANCO ELO CAPITAL S.A.	LCA	R$ 14.318,07	06/07/2021	12/07/2022	371	265	96,87% do CDI	PÓS-FIXADO	R$ 715,90	20	R$ 15.939,59	11,324990030081	0,042735811	TRUE
EXEMPLO-0055	BANCO ATLÂNTICO CAPITAL S.A.	LCA	R$ 19.200,00	10/07/2021	02/08/2022	388	276	117,33% do CDI	PÓS-FIXADO	R$ 4.800,00	4	R$ 21.963,11	14,391197916667	0,052142021	TRUE
EXEMPLO-0056	BANCO AURORA CAPITAL S.A.	CDB	R$ 14.500,00	04/12/2019	19/08/2022	989	707	110,04% do CDI	PÓS-FIXADO	R$ 966,67	15	R$ 19.193,03	32,365724137931	0,045778959	TRUE
EXEMPLO-0057	BANCO ATLÂNTICO CAPITAL S.A.	LCA	R$ 3.700,00	20/09/2018	23/09/2022	1464	1046	99,38% do CDI	PÓS-FIXADO	R$ 185,00	20	R$ 5.709,21	54,302972972973	0,051914888	TRUE
EXEMPLO-0058	BANCO PONTE S.A.	CDB	R$ 3.086,98	29/11/2019	24/09/2022	1030	736	7,60% a.a.	PRÉ-FIXADO	R$ 257,25	12	R$ 3.689,04	19,503203778450	0,026498918	TRUE
EXEMPLO-0059	BANCO PRISMA FINANCEIRO S.A.	LCA	R$ 21.900,00	18/08/2020	24/11/2022	828	592	IPCA + 4,48%	INFLAÇÃO	R$ 2.737,50	8	R$ 26.725,55	22,034474885845	0,037220397	TRUE
EXEMPLO-0060	BANCO ATLÂNTICO CAPITAL S.A.	LCA	R$ 11.300,00	20/11/2021	01/12/2022	376	268	10,70% a.a.	PRÉ-FIXADO	R$ 1.412,50	8	R$ 12.546,58	11,031681415929	0,041162990	TRUE
EXEMPLO-0061	BANCO SERRA AZUL S.A.	CDB	R$ 14.961,81	06/01/2020	03/12/2022	1062	760	110,01% do CDI	PÓS-FIXADO	R$ 748,09	20	R$ 20.225,92	35,183644224863	0,046294269	TRUE
EXEMPLO-0062	BANCO ORBE S.A.	LCA	R$ 4.100,00	10/06/2022	11/01/2023	215	153	IPCA + 5,77%	INFLAÇÃO	R$ 341,67	12	R$ 4.348,88	6,070243902439	0,039674797	TRUE
EXEMPLO-0063	BANCO ELO CAPITAL S.A.	LCA	R$ 28.858,06	19/01/2022	31/01/2023	377	269	114,01% do CDI	PÓS-FIXADO	R$ 3.607,26	8	R$ 32.771,31	13,560336349706	0,050410172	TRUE
EXEMPLO-0064	COOPERATIVA SULCRED EXEMPLO	CDB	R$ 8.700,00	21/03/2021	20/02/2023	701	500	115,72% do CDI	PÓS-FIXADO	R$ 4.350,00	2	R$ 10.644,93	22,355517241379	0,044711034	TRUE
EXEMPLO-0065	BANCO VÉRTICE BRASIL S.A.	CDB	R$ 1.300,00	10/04/2022	15/03/2023	339	242	CDI + 1,99%	PÓS-FIXADO	R$ 108,33	12	R$ 1.429,61	9,970000000000	0,041198347	TRUE
EXEMPLO-0066	BANCO AURORA CAPITAL S.A.	LCA	R$ 10.200,00	18/03/2022	24/03/2023	371	265	12,42% a.a.	PRÉ-FIXADO	R$ 2.550,00	4	R$ 11.487,99	12,627352941176	0,047650388	TRUE
EXEMPLO-0067	BANCO AURORA CAPITAL S.A.	LCI	R$ 19.700,00	31/07/2020	26/03/2023	968	691	98,66% do CDI	PÓS-FIXADO	R$ 0,01	1970000	R$ 26.191,73	32,952944162437	0,047688776	TRUE
EXEMPLO-0068	COOPERATIVA SULCRED EXEMPLO	LCA	R$ 2.143,53	04/10/2020	08/04/2023	916	655	101,69% do CDI	PÓS-FIXADO	R$ 714,51	3	R$ 2.828,69	31,964096606999	0,048800147	TRUE
EXEMPLO-0069	BANCO ELO CAPITAL S.A.	CDB	R$ 33.884,26	14/01/2023	14/04/2023	90	64	11,14% a.a.	PRÉ-FIXADO	R$ 8.471,07	4	R$ 34.599,01	2,109386482101	0,032959164	TRUE
EXEMPLO-0070	BANCO NOVA VIA S.A.	LCI	R$ 6.500,00	09/11/2017	21/04/2023	1989	1421	IPCA + 6,18%	INFLAÇÃO	R$ 0,01	650000	R$ 11.450,66	76,164000000000	0,053598874	TRUE
EXEMPLO-0071	BANCO ATLÂNTICO CAPITAL S.A.	LCI	R$ 13.572,80	11/01/2023	28/05/2023	137	98	IPCA + 5,50%	INFLAÇÃO	R$ 3.393,20	4	R$ 14.078,66	3,727012849228	0,038030743	TRUE
EXEMPLO-0072	BANCO AURORA CAPITAL S.A.	CDB	R$ 7.800,00	18/04/2020	11/06/2023	1149	820	107,73% do CDI	PÓS-FIXADO	R$ 2.600,00	3	R$ 10.743,69	37,739615384615	0,046023921	TRUE
EXEMPLO-0073	BANCO PONTE S.A.	CDB	R$ 1.856,06	10/09/2020	13/06/2023	1006	718	13,43% a.a.	PRÉ-FIXADO	R$ 464,01	4	R$ 2.510,68	35,269333965497	0,049121635	TRUE
EXEMPLO-0074	BANCO HORIZONTE DIGITAL S.A.	LCA	R$ 3.800,00	19/11/2022	01/07/2023	224	160	IPCA + 8,52%	INFLAÇÃO	R$ 950,00	4	R$ 4.104,73	8,019210526316	0,050120066	TRUE
EXEMPLO-0075	BANCO VÉRTICE BRASIL S.A.	CDB	R$ 29.700,00	30/08/2022	28/07/2023	332	238	128,26% do CDI	PÓS-FIXADO	R$ 14.850,00	2	R$ 32.865,22	10,657306397306	0,044778598	TRUE
EXEMPLO-0076	BANCO AURORA CAPITAL S.A.	CDB	R$ 10.828,12	29/11/2018	25/08/2023	1730	1236	110,31% do CDI	PÓS-FIXADO	R$ 2.165,62	5	R$ 17.829,13	64,655822063294	0,052310536	TRUE
EXEMPLO-0077	BANCO AURORA CAPITAL S.A.	LCA	R$ 37.700,00	15/04/2018	31/08/2023	1964	1403	110,20% do CDI	PÓS-FIXADO	R$ 18.850,00	2	R$ 71.611,69	89,951432360743	0,064113637	TRUE
EXEMPLO-0078	COOPERATIVA CREDIVALE EXEMPLO	LCA	R$ 8.300,00	26/08/2022	07/09/2023	377	269	127,05% do CDI	PÓS-FIXADO	R$ 2.075,00	4	R$ 9.554,52	15,114698795181	0,056188471	TRUE
EXEMPLO-0079	BANCO NOVA VIA S.A.	LCA	R$ 13.487,31	11/03/2023	07/09/2023	180	128	99,52% do CDI	PÓS-FIXADO	R$ 1.685,91	8	R$ 14.227,12	5,485230190453	0,042853361	TRUE
EXEMPLO-0080	BANCO NOVA VIA S.A.	LCA	R$ 2.767,12	22/08/2021	07/09/2023	746	533	126,90% do CDI	PÓS-FIXADO	R$ 461,19	6	R$ 3.654,76	32,078117320535	0,060184085	TRUE
EXEMPLO-0081	BANCO ELO CAPITAL S.A.	LCA	R$ 1.500,00	12/04/2023	09/09/2023	150	108	111,55% do CDI	PÓS-FIXADO	R$ 125,00	12	R$ 1.576,22	5,081333333333	0,047049383	TRUE
EXEMPLO-0082	COOPERATIVA SULCRED EXEMPLO	LCI	R$ 2.249,40	05/05/2023	19/12/2023	228	162	131,46% do CDI	PÓS-FIXADO	R$ 449,88	5	R$ 2.456,03	9,186005156931	0,056703736	TRUE
EXEMPLO-0083	BANCO NOVA VIA S.A.	CDB	R$ 11.800,00	11/05/2019	26/12/2023	1690	1206	IPCA + 6,85%	INFLAÇÃO	R$ 786,67	15	R$ 18.476,68	56,582033898305	0,046917109	TRUE
EXEMPLO-0084	BANCO ORBE S.A.	LCA	R$ 1.900,00	26/05/2019	29/12/2023	1678	1199	IPCA + 7,60%	INFLAÇÃO	R$ 95,00	20	R$ 3.256,31	71,384736842105	0,059536895	TRUE
EXEMPLO-0085	BANCO PRISMA FINANCEIRO S.A.	LCA	R$ 3.308,65	10/02/2023	13/02/2024	368	262	10,66% a.a.	PRÉ-FIXADO	R$ 330,87	10	R$ 3.664,15	10,744563492663	0,041009784	TRUE
EXEMPLO-0086	BANCO AURORA CAPITAL S.A.	CDB	R$ 24.812,11	15/03/2020	25/02/2024	1442	1030	IPCA + 7,34%	INFLAÇÃO	R$ 2.481,21	10	R$ 36.911,23	48,762962924153	0,047342682	TRUE
EXEMPLO-0087	BANCO PRISMA FINANCEIRO S.A.	CDB	R$ 5.300,00	27/10/2023	12/03/2024	137	97	16,70% a.a.	PRÉ-FIXADO	R$ 265,00	20	R$ 5.552,86	4,770943396226	0,049184983	TRUE
EXEMPLO-0088	BANCO ELO CAPITAL S.A.	LCA	R$ 5.519,95	17/04/2023	07/04/2024	356	255	114,68% do CDI	PÓS-FIXADO	R$ 276,00	20	R$ 6.228,36	12,833630739409	0,050327964	TRUE
EXEMPLO-0089	BANCO HORIZONTE DIGITAL S.A.	LCI	R$ 3.300,00	17/11/2023	07/04/2024	142	101	12,94% a.a.	PRÉ-FIXADO	R$ 165,00	20	R$ 3.459,87	4,844545454545	0,047965797	TRUE
EXEMPLO-0090	BANCO VÉRTICE BRASIL S.A.	LCA	R$ 4.800,00	03/05/2022	21/04/2024	719	514	IPCA + 8,24%	INFLAÇÃO	R$ 0,01	480000	R$ 6.117,37	27,445208333333	0,053395347	TRUE
EXEMPLO-0091	COOPERATIVA CREDIVALE EXEMPLO	CDB	R$ 28.200,00	12/10/2023	02/05/2024	203	145	126,42% do CDI	PÓS-FIXADO	R$ 1.410,00	20	R$ 29.967,81	6,268829787234	0,043233309	TRUE
EXEMPLO-0092	BANCO PRISMA FINANCEIRO S.A.	LCA	R$ 3.324,43	14/03/2022	10/06/2024	819	585	110,04% do CDI	PÓS-FIXADO	R$ 332,44	10	R$ 4.342,64	30,628107675602	0,052355740	TRUE
EXEMPLO-0093	BANCO SERRA AZUL S.A.	CDB	R$ 3.200,00	05/07/2023	28/06/2024	359	257	124,30% do CDI	PÓS-FIXADO	R$ 160,00	20	R$ 3.559,26	11,226875000000	0,043684339	TRUE
EXEMPLO-0094	BANCO PRISMA FINANCEIRO S.A.	LCA	R$ 39.000,00	08/09/2018	03/07/2024	2125	1517	15,66% a.a.	PRÉ-FIXADO	R$ 3.250,00	12	R$ 90.920,15	133,128589743590	0,087757805	TRUE
EXEMPLO-0095	BANCO NOVA VIA S.A.	LCA	R$ 25.100,00	24/03/2024	02/08/2024	131	94	15,92% a.a.	PRÉ-FIXADO	R$ 2.091,67	12	R$ 26.465,78	5,441354581673	0,057886751	TRUE
EXEMPLO-0096	BANCO ATLÂNTICO CAPITAL S.A.	CDB	R$ 37.600,00	12/07/2023	19/08/2024	404	288	121,40% do CDI	PÓS-FIXADO	R$ 6.266,67	6	R$ 42.424,24	12,830425531915	0,044550089	TRUE
EXEMPLO-0097	BANCO VÉRTICE BRASIL S.A.	CDB	R$ 29.600,00	05/09/2022	23/08/2024	718	514	CDI + 1,34%	PÓS-FIXADO	R$ 14.800,00	2	R$ 36.145,38	22,112770270270	0,043020954	TRUE
EXEMPLO-0098	COOPERATIVA SULCRED EXEMPLO	LCA	R$ 11.806,31	23/04/2020	29/09/2024	1620	1157	106,58% do CDI	PÓS-FIXADO	R$ 983,86	12	R$ 19.716,13	66,996546761859	0,057905399	TRUE
EXEMPLO-0099	BANCO NOVA VIA S.A.	LCA	R$ 28.234,61	04/08/2022	07/10/2024	795	567	IPCA + 8,47%	INFLAÇÃO	R$ 1.882,31	15	R$ 37.088,97	31,359951492158	0,055308556	TRUE
EXEMPLO-0100	BANCO HORIZONTE DIGITAL S.A.	CDB	R$ 4.500,00	28/07/2024	27/10/2024	91	65	117,64% do CDI	PÓS-FIXADO	R$ 450,00	10	R$ 4.615,62	2,569333333333	0,039528205	TRUE
EXEMPLO-0101	BANCO HORIZONTE DIGITAL S.A.	CDB	R$ 2.900,00	28/05/2019	04/11/2024	1987	1419	121,05% do CDI	PÓS-FIXADO	R$ 145,00	20	R$ 5.443,90	87,720689655172	0,061818668	TRUE
EXEMPLO-0102	COOPERATIVA SULCRED EXEMPLO	CDB	R$ 1.822,42	29/04/2020	02/12/2024	1678	1198	100,98% do CDI	PÓS-FIXADO	R$ 182,24	10	R$ 2.839,44	55,806016176293	0,046582651	TRUE
EXEMPLO-0103	BANCO ELO CAPITAL S.A.	CDB	R$ 6.000,00	01/01/2024	26/12/2024	360	258	IPCA + 7,16%	INFLAÇÃO	R$ 300,00	20	R$ 6.566,41	9,440166666667	0,036589793	TRUE
EXEMPLO-0104	COOPERATIVA CREDIVALE EXEMPLO	CDB	R$ 4.228,64	02/02/2019	28/12/2024	2156	1540	IPCA + 4,42%	INFLAÇÃO	R$ 2.114,32	2	R$ 6.650,68	57,277044156041	0,037192886	TRUE
EXEMPLO-0105	BANCO PONTE S.A.	LCA	R$ 2.800,00	20/03/2022	15/01/2025	1032	737	9,04% a.a.	PRÉ-FIXADO	R$ 140,00	20	R$ 3.575,65	27,701785714286	0,037587226	TRUE
EXEMPLO-0106	BANCO HORIZONTE DIGITAL S.A.	LCA	R$ 40.300,00	15/01/2021	07/02/2025	1484	1060	125,44% do CDI	PÓS-FIXADO	R$ 10.075,00	4	R$ 69.675,98	72,893250620347	0,068767218	TRUE
EXEMPLO-0107	BANCO ORBE S.A.	CDB	R$ 1.201,38	07/02/2024	10/02/2025	369	263	14,35% a.a.	PRÉ-FIXADO	R$ 120,14	10	R$ 1.345,17	11,968735953653	0,045508502	TRUE
EXEMPLO-0108	BANCO AURORA CAPITAL S.A.	LCA	R$ 11.400,00	12/02/2024	11/02/2025	365	261	IPCA + 8,71%	INFLAÇÃO	R$ 950,00	12	R$ 12.949,49	13,592017543860	0,052076696	TRUE
EXEMPLO-0109	COOPERATIVA CREDIVALE EXEMPLO	LCA	R$ 25.200,00	17/02/2024	25/02/2025	374	266	114,41% do CDI	PÓS-FIXADO	R$ 8.400,00	3	R$ 28.600,17	13,492738095238	0,050724579	TRUE
EXEMPLO-0110	BANCO PRISMA FINANCEIRO S.A.	LCA	R$ 4.100,00	19/03/2024	28/02/2025	346	248	119,71% do CDI	PÓS-FIXADO	R$ 410,00	10	R$ 4.632,83	12,995853658537	0,052402636	TRUE
EXEMPLO-0111	BANCO ATLÂNTICO CAPITAL S.A.	LCA	R$ 33.749,15	10/12/2024	02/03/2025	82	59	IPCA + 5,77%	INFLAÇÃO	R$ 11.249,72	3	R$ 34.516,28	2,273035024586	0,038526017	TRUE
EXEMPLO-0112	BANCO HORIZONTE DIGITAL S.A.	LCA	R$ 2.300,00	19/06/2019	14/03/2025	2095	1497	IPCA + 8,37%	INFLAÇÃO	R$ 2.300,00	1	R$ 4.694,68	104,116521739130	0,069550115	TRUE
EXEMPLO-0113	BANCO ORBE S.A.	LCA	R$ 8.500,00	09/02/2023	10/04/2025	791	565	100,37% do CDI	PÓS-FIXADO	R$ 2.125,00	4	R$ 10.768,57	26,689058823529	0,047237272	TRUE
